subsys	length	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1	subsys
Transcriptional activatory protein CaiF|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	405	0	0	3	0	0	29	1	0	3	0	320	0	0	591	0	0	0	116	14	1	Transcriptional activatory protein CaiF|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
Trans-2,cis-3-Decenoyl-ACP isomerase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	760.436363636364	39	110	251	310	241	81	99	82	208	250	249	226	84	93	719	41	31	959	250	88	Trans-2,cis-3-Decenoyl-ACP isomerase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Electron transfer flavoprotein, alpha subunit FixB|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	853.090909090909	0	2	5	0	97	21	0	0	0	0	497	1	0	353	0	0	1	52	14	1	Electron transfer flavoprotein, alpha subunit FixB|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
L-carnitine/gamma-butyrobetaine antiporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	1373.70588235294	0	17	13	0	3	67	8	1	8	0	974	0	0	1748	7	2	15	257	43	11	L-carnitine/gamma-butyrobetaine antiporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	1101.8	94	573	23	45	166	109	172	91	117	211	1054	293	225	1310	148	26	42	704	84	374	Crotonobetainyl-CoA:carnitine CoA-transferase (EC 2.8.3.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
Geranyl-CoA carboxylase carboxyl transferase subunit|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	1615.5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	Geranyl-CoA carboxylase carboxyl transferase subunit|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization
Acyclic terpenes utilization regulator AtuR, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	618.416666666667	187	126	509	60	765	494	413	244	373	594	687	368	781	881	143	1011	158	1203	650	1175	Acyclic terpenes utilization regulator AtuR, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization
Transcriptional regulator for fatty acid degradation FadR, GntR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	682.153846153846	0	6	10	0	2	208	1	0	2	0	259	1	0	556	12	22	2	81	11	5	Transcriptional regulator for fatty acid degradation FadR, GntR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
Acyl-CoA thioesterase II (EC 3.1.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II	896.378378378378	381	43	284	0	118	115	1	238	4	1177	630	26	0	941	42	429	1	220	423	1917	Acyl-CoA thioesterase II (EC 3.1.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II
Carnitine operon protein CaiE|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	592.307692307692	0	6	4	0	1	27	0	0	8	0	361	0	0	745	2	0	0	117	23	1	Carnitine operon protein CaiE|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
FIG027190: Putative transmembrane protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	626.875	249	583	3	456	18	214	178	321	157	1019	480	167	212	175	760	34	9	187	30	9	FIG027190: Putative transmembrane protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Intracellular PHB depolymerase (EC 3.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism	1366	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	Intracellular PHB depolymerase (EC 3.1.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Polyhydroxybutyrate_metabolism
FIG021862: membrane protein, exporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	2261.95	1159	2052	28	759	56	420	393	1365	590	2964	1900	607	1131	302	1583	89	23	687	185	32	FIG021862: membrane protein, exporter|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Predicted transcriptional regulator for fatty acid degradation FadQ, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	613.666666666667	24	778	421	90	2931	2221	868	614	159	2155	203	26	272	1581	573	488	504	992	56	1632	Predicted transcriptional regulator for fatty acid degradation FadQ, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
Predicted transcriptional regulator for fatty acid degradation FadP, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	618.75	3	34	9	35	17	0	0	29	4	27	95	11	35	63	6	10	14	326	18	112	Predicted transcriptional regulator for fatty acid degradation FadP, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
Phytoene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1812	4963	4577	3305	5023	5541	1784	4381	2718	5774	7560	2898	3252	15814	6326	3298	1985	5909	24163	2555	9279	Phytoene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	1537.77083333333	62	349	78	27	1927	1880	320	95	100	932	2436	35	143	2045	12	299	600	1912	196	1158	2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	426	0	0	0	0	0	21	0	1	0	0	225	0	0	0	3	0	1	0	13	0	FIG002571: 4-hydroxybenzoyl-CoA thioesterase domain protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids	887.222222222222	240	948	26	447	61	109	1239	113	191	678	91	1406	0	0	577	1754	378	1	251	4	(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids
4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	570.333333333333	41	0	62	0	53	0	1	97	47	255	28	6	30	0	5	111	5	0	5	144	4'-phosphopantetheinyl transferase of FASI (EC 2.7.8.7)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI
FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1141.125	797	1688	16	621	54	260	305	1051	516	2264	780	498	795	222	1362	68	25	682	70	18	FIG018329: 1-acyl-sn-glycerol-3-phosphate acyltransferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
FIG035331: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	603.285714285714	2	8	0	16	0	0	0	2	0	7	256	1	0	0	5	2	3	0	14	0	FIG035331: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Acyl carrier protein (ACP1)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	315	12	47	2	108	3	2	8	31	12	0	123	42	11	0	68	54	0	0	9	0	Acyl carrier protein (ACP1)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	471.4	0	10	0	19	0	0	0	1	0	7	273	0	0	0	0	0	1	0	12	0	3-hydroxydecanoyl-[ACP] dehydratase (EC 4.2.1.60)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms	1502	0	3	7	0	1	62	0	0	2	0	687	0	0	1133	0	0	0	207	35	2	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Carnitine_Metabolism_in_Microorganisms
Acyl carrier protein (ACP2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	252	0	0	0	0	0	2	1	1	0	0	131	0	0	0	0	0	6	0	10	0	Acyl carrier protein (ACP2)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Digeranylgeranylglycerophospholipid reductase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids	1474.5	202	101	698	295	840	546	123	371	71	1345	218	224	710	15	394	16	44	995	1470	11	Digeranylgeranylglycerophospholipid reductase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Archaeal_lipids
3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1226.66666666667	4	30	0	57	0	11	0	2	0	9	685	1	0	0	0	2	1	0	34	1	3-oxoacyl-[ACP] synthase (EC 2.3.1.41) FabV like|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
FIG017861: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	585	0	0	0	0	0	7	1	0	2	0	346	0	0	0	0	0	0	0	4	0	FIG017861: hypothetical protein|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis	487.25	296	507	100	201	99	204	195	98	1272	369	250	535	423	1921	101	1023	357	38	1110	1	Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Polyprenyl_Diphosphate_Biosynthesis
Phytoene synthase (EC 2.5.1.32)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1691	10	3	3	179	0	0	0	0	2	6	35	0	0	73	2	2	1	8	16	228	Phytoene synthase (EC 2.5.1.32)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
3-oxoacyl-[ACP] synthase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	710	0	0	0	0	0	0	1	0	0	0	393	0	0	0	0	0	0	0	13	0	3-oxoacyl-[ACP] synthase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
3-oxoacyl-[ACP] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	733.5	0	24	0	32	0	53	1	1	0	11	471	0	0	0	8	1	2	0	18	0	3-oxoacyl-[ACP] reductase (EC 1.1.1.100)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Lycopene cyclase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1173	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Lycopene cyclase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Carotenoid cis-trans isomerase (EC 5.2.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1717.5	0	10	0	0	1	0	0	3	6	7	2	0	1	0	2	1	0	9	0	0	Carotenoid cis-trans isomerase (EC 5.2.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1437	13	13	32	69	39	25	84	2	42	15	1	3	258	205	5	8	32	615	22	0	Phytoene desaturase, neurosporene or lycopene producing (EC 1.3.-.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	369	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	1	0	(3R)-hydroxymyristoyl-[ACP] dehydratase (EC 4.2.1.-)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Lipid carrier protein IgrF|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Cholesterol_catabolic_operon_in_Mycobacteria	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Lipid carrier protein IgrF|||Fatty Acids, Lipids, and Isoprenoids|||NA|||Cholesterol_catabolic_operon_in_Mycobacteria
3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	1585.5	0	0	0	0	0	1	3	0	0	5	0	0	0	0	4	0	0	0	5	0	3-hydroxy-3isohexenylglutaryl-CoA:acetate lyase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization
Hydroxyneurosporene synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1110	0	0	0	2	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	Hydroxyneurosporene synthase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	564	157	2	71	0	90	0	0	116	0	318	13	9	1	2	18	221	0	10	164	860	[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI
3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI	795	117	8	81	134	199	379	237	61	321	0	193	40	273	0	8	0	6	780	130	0	3-oxoacyl-coenzyme A reductase of elongase (EC 1.1.1.62)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASI
FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1369.8	0	0	0	0	0	4	0	0	0	0	903	0	0	0	1	0	1	0	0	0	FIGfam138462: Acyl-CoA synthetase, AMP-(fatty) acid ligase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
Methoxyneurosporene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1185	13	22	24	14	18	17	24	9	13	1	0	30	67	1	2	16	61	0	35	0	Methoxyneurosporene dehydrogenase (EC 1.14.99.-)|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII	761	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	Enoyl-[acyl-carrier-protein] reductase [NADPH] (EC 1.3.1.10)|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_Acid_Biosynthesis_FASII
Phytoene dehydrogenase and related proteins|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids	1878	63	47	0	63	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	Phytoene dehydrogenase and related proteins|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Carotenoids
TesB-like acyl-CoA thioesterase 1|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	TesB-like acyl-CoA thioesterase 1|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Acyl-CoA_thioesterase_II
Citronellol and citronellal dehydrogenase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Citronellol and citronellal dehydrogenase|||Fatty Acids, Lipids, and Isoprenoids|||Isoprenoids|||Acyclic_terpenes_utilization
Fatty acid degradation regulator YsiA, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons	635	4	1	1	3	9	7	22	0	1	18	12	0	19	0	3	0	0	0	2	0	Fatty acid degradation regulator YsiA, TetR family|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Fatty_acid_degradation_regulons
FIG143263: Glycosyl transferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster	1205	0	19	0	33	0	0	0	1	0	7	0	0	0	0	0	1	0	0	0	1	FIG143263: Glycosyl transferase|||Fatty Acids, Lipids, and Isoprenoids|||Fatty acids|||Phospholipid_and_Fatty_acid_biosynthesis_related_cluster
