	subsys4	indices	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
1247	Choline ABC transport system, ATP-binding protein OpuBA	1247	10	1	1	1	1	1	1	1	1	1	0	1	3	2	1	1	1	1	1	1
1248	Choline ABC transporter ATP-binding protein	1248	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1249	Choline ABC transporter permease protein	1249	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1250	Choline binding protein A	1250	10	0	2	1	4	1	3	1	1	0	0	2	15	0	0	0	3	0	3	0
1251	Choline binding protein D	1251	10	4	27	7	0	6	7	5	1	13	1	3	5	1	15	1	2	45	3	2
1252	Choline dehydrogenase (EC 1.1.99.1)	1252	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1253	Choline kinase (EC 2.7.1.32)	1253	10	1	1	1	11	12	1	1	1	1	0	1	3	0	25	1	1	1	1	1
1254	Choline monooxygenase, beta subunit (EC 1.14.15.7)	1254	10	1	1	1	1	1	1	1	1	1	63	1	3	0	5	1	1	1	1	1
1255	Choline permease LicB	1255	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	154	1	1	1	1
1256	Choline-binding lipoprotein	1256	10	1	1	1	1	1	1	9	1	1	420	1	127	1129	1	1	11	54	9	1518
1257	Choline-glycine betaine transporter	1257	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	4	1	1	1	1
1258	Choline-sulfatase (EC 3.1.6.6)	1258	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1259	Cholinephosphate cytidylyltransferase (EC 2.7.7.15)	1259	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1260	Chondroitinase (chondroitin lyase)	1260	10	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
1261	Chorismate mutase (EC 5.4.99.5)	1261	10	25	2	20	0	0	0	16	0	0	0	17	33	0	22	0	0	0	0	0
1262	Chorismate mutase I (EC 5.4.99.5)	1262	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1263	Chorismate mutase II (EC 5.4.99.5)	1263	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1264	Chorismate synthase (EC 4.2.3.5)	1264	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	236	1	1	1	1
1265	Chorismate--pyruvate lyase (EC 4.1.3.40)	1265	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1266	Chromate resistance protein ChrB	1266	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1267	Chromate transport protein ChrA	1267	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1268	Chromosomal replication initiator protein DnaA	1268	10	1	1	1	38	1	1	1	1	1	0	1	3	0	1	1	1	4	1	5
1269	Chromosome (plasmid) partitioning protein ParA	1269	10	0	0	0	61	1	174	0	0	4	1	0	0	0	1	0	1	0	6	3
1270	Chromosome (plasmid) partitioning protein ParB	1270	10	15	96	1	1	862	1	1	57	1	0	1	3	0	1	1	1	1185	1	1
1271	Chromosome (plasmid) partitioning protein ParB-2	1271	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1272	Chromosome partition protein MukB	1272	10	38	96	1	6	310	27	17	1	1	962	1	3	1417	25	20	21	553	252	5
1273	Chromosome partition protein MukE	1273	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1274	Chromosome partition protein MukF	1274	10	1	1	1	1	6	1	1	8	1	144	1	3	223	1	1	1	61	87	1
1275	Chromosome partition protein smc	1275	10	1	0	1	1	1	2	0	0	4	0	0	8	0	0	0	0	0	1	0
1276	Chromosome partitioning protein ParA	1276	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1277	Chromosome replication initiation protein dnaD	1277	10	0	0	0	0	0	1	4	1	1	0	1	2	0	3	0	0	0	0	0
1278	CI-like repressor [SA bacteriophages 11, Mu50B]	1278	10	1	1	1	1	1	1	9	1	1	0	1	3	0	25	1	11	1	1	1
1279	CI-like repressor, superantigen-encoding pathogenicity islands SaPI	1279	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1280	CidA-associated membrane protein CidB	1280	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1281	Cinnamoyl-CoA reductase (EC 1.2.1.44)	1281	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1282	Circadian input kinase A	1282	10	21	8	84	1	24	0	0	1	7	2	22	30	1	3	2	1	0	21	0
1283	Circadian oscillation regulator KaiB	1283	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1284	Circadian phase modifier	1284	10	10	0	18	0	0	0	1	0	3	0	1	0	0	0	1	0	0	0	0
1285	Citrate lyase gamma chain, acyl carrier protein (EC 4.1.3.6)	1285	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1286	Citrate synthase (si) (EC 2.3.3.1)	1286	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1287	Citrate:6-N-acetyl-6-N-hydroxy-L-lysine ligase, alpha subunit (EC 6.3.2.27), aerobactin biosynthesis protein IucA	1287	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1288	Citronellol and citronellal dehydrogenase	1288	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1289	Citronellyl-CoA dehydrogenase	1289	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1290	clavaldehyde dehydrogenase	1290	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1291	Clock-associated two-component sensor histidine kinase SasA	1291	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1292	Clostridial MutS2-related protein	1292	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1293	Clostridium cellulosome enzyme, dockerin type I precursor	1293	10	1	1	9	1	1	1	1	33	1	10	1	3	0	25	1	1	1	1	1
1294	ClpB protein	1294	10	1	0	7	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
1295	ClpXP protease specificity-enhancing factor	1295	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1296	Clumping factor ClfA, fibrinogen-binding protein	1296	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1297	Clumping factor ClfB, fibrinogen binding protein	1297	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1298	CMP-Kdo synthetase, KpsU	1298	10	1	12	0	0	0	0	1	1	0	152	0	0	187	0	0	0	71	31	0
1299	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)	1299	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1300	Cnu protein	1300	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1301	CO dehydrogenase accessory protein CooC (nickel insertion)	1301	10	7	24	9	3	6	9	10	6	5	0	6	49	0	1	2	4	8	2	5
1302	CO dehydrogenase iron-sulfur protein CooF (EC 1.2.99.2)	1302	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1303	CO dehydrogenase/acetyl-CoA synthase subunit beta, acetyl-CoA synthase (EC 2.3.1.169)	1303	10	4	0	17	0	0	0	2	2	0	0	3	1	0	4	1	0	0	1	0
1304	CO dehydrogenase/acetyl-CoA synthase, acetyl-CoA synthase subunit (EC 2.3.1.169)	1304	10	1	1	28	1	1	1	1	33	1	0	1	3	124	1	1	1	705	121	1
1305	CO dehydrogenase/acetyl-CoA synthase, CO dehydrogenase subunit (EC 1.2.99.2)	1305	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1306	CO dehydrogenases maturation factor, CoxF family	1306	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1307	CoA-acylating propionaldehyde dehydrogenase	1307	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1308	Coagulation factor XIa, protease S01.213	1308	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1309	CoB--CoM heterodisulfide reductase 2 iron-sulfur subunit D (EC 1.8.98.1)	1309	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1310	CoB--CoM heterodisulfide reductase subunit A (EC 1.8.98.1)	1310	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1311	CoB--CoM heterodisulfide reductase subunit B (EC 1.8.98.1)	1311	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1312	CoB--CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	1312	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1313	CoB--CoM heterodisulfide reductase subunit D (EC 1.8.98.1)	1313	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1314	CoB--CoM-reducing hydrogenase (Cys) delta subunit	1314	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1315	Cob(I)alamin adenosyltransferase (EC 2.5.1.17)	1315	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1316	Cob(I)alamin adenosyltransferase fragment	1316	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1317	Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17)	1317	10	1	1	1	1	1	1	1	8	1	0	1	3	3	1	1	1	14	1	9
1318	Cob(II)alamin reductase	1318	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1319	Cobalamin biosynthesis protein BluB	1319	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1320	Cobalamin biosynthesis protein CbiG	1320	10	1	1	1	1	1	7	1	1	1	2	31	3	2	1	1	1	14	1	1
1321	Cobalamin biosynthesis protein CobG	1321	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1322	Cobalamin synthase	1322	10	1	1	1	1	1	1	1	1	1	323	1	3	253	1	1	1	1	1	1230
1323	Cobalamine-related hypothetical metal-binding protein CrdX	1323	10	1	1	1	1	1	1	1	8	1	0	1	3	0	1	1	1	1	1	1
1324	Cobalt-precorrin-2 C20-methyltransferase (EC 2.1.1.130)	1324	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1325	Cobalt-precorrin-3b C17-methyltransferase	1325	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1326	Cobalt-precorrin-4 C11-methyltransferase (EC 2.1.1.133)	1326	10	14	1	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
1327	Cobalt-precorrin-6 synthase, anaerobic	1327	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1328	Cobalt-precorrin-6x reductase (EC 1.3.1.54)	1328	10	1	1	18	1	1	1	1	1	1	0	1	3	0	10	1	1	1	1	1
1329	Cobalt-precorrin-6y C15-methyltransferase [decarboxylating] (EC 2.1.1.-)	1329	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1330	Cobalt-precorrin-6y C5-methyltransferase (EC 2.1.1.-)	1330	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1331	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	1331	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1332	Cobalt-zinc-cadmium resistance protein	1332	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1333	Cobalt-zinc-cadmium resistance protein CzcA	1333	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1334	Cobalt-zinc-cadmium resistance protein CzcD	1334	10	160	584	82	1	17	33	85	8	110	10	21	37	3	400	8	11	51	1	19
1335	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	1335	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1336	CobN component of cobalt chelatase involved in B12 biosynthesis	1336	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1337	CobW GTPase involved in cobalt insertion for B12 biosynthesis	1337	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1338	Cobyric acid synthase	1338	10	8	1	37	1	1	1	9	1	1	0	1	19	0	10	16	1	1	1	1
1339	Cobyrinic acid A,C-diamide synthase	1339	10	1	4	0	0	2	1	1	0	1	0	0	10	0	0	0	1	2	1	2
1340	Coenzyme B synthesis from 2-oxoglutarate: steps 4, 7, 8, 11, and 12 [large subunit]	1340	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1341	Coenzyme B synthesis from 2-oxoglutarate: steps 4, 7, 8, 11, and 12 [small subunit]	1341	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1342	Coenzyme F(420)H(2) dehydrogenase (methanophenazine) subunit FpoF	1342	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1343	Coenzyme F420 hydrogenase maturation protease (EC 3.4.24.-)	1343	10	1	1	1	1	6	7	1	1	1	59	1	3	0	1	1	1	1	1	1
1344	Coenzyme F420-1:L-glutamate ligase	1344	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1345	Coenzyme F420-dependent oxidoreductase	1345	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1346	Coenzyme F420-reducing hydrogenase, alpha subunit	1346	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1347	Coenzyme F420-reducing hydrogenase, beta subunit	1347	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
1348	coenzyme F420-reducing hydrogenase, beta subunit homolog	1348	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1349	Coenzyme F420-reducing hydrogenase, gamma subunit	1349	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1350	Coenzyme gamma-F420-2:L-glutamate ligase	1350	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1351	Coenzyme PQQ synthesis protein A	1351	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1352	Coenzyme PQQ synthesis protein B	1352	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1353	Coenzyme PQQ synthesis protein C	1353	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1354	Coenzyme PQQ synthesis protein D	1354	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1355	Coenzyme PQQ synthesis protein E	1355	10	1	1	1	1	1	1	1	1	1	0	1	3	3	1	8	1	1	1	1
1356	Coenzyme PQQ synthesis protein F (EC 3.4.99.-)	1356	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1357	Cof protein, HD superfamily hydrolase	1357	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1358	COG0488: ATPase components of ABC transporters with duplicated ATPase domains	1358	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1359	COG0523: Putative GTPases (G3E family)	1359	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1360	COG0536: GTP-binding protein Obg	1360	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1361	COG0613, Predicted metal-dependent phosphoesterases (PHP family)	1361	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1362	COG0779: clustered with transcription termination protein NusA	1362	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1363	COG1180: Radical SAM, Pyruvate-formate lyase-activating enzyme like	1363	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1364	COG1306 predicted glycoside hydrolase	1364	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1365	COG1355, Predicted dioxygenase	1365	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1366	COG1496: Uncharacterized conserved protein	1366	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1367	COG1548 family protein	1367	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1368	COG1565: Uncharacterized conserved protein	1368	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1369	COG1649 predicted glycoside hydrolase	1369	10	1	1	1	1	1	1	1	1	1	0	1	3	0	10	1	1	1	1	1
1370	COG1720: Uncharacterized conserved protein	1370	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1371	COG1821 family protein	1371	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1372	COG1887: Putative glycosyl/glycerophosphate transferases involved in teichoic acid biosynthesis TagF/TagB/EpsJ/RodC	1372	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1373	COG2071: predicted glutamine amidotransferases in hypothetical Actinobacterial gene cluster	1373	10	1	1	1	1	1	1	1	1	1	0	11	3	0	1	1	1	1	1	1
1374	COG2078: Uncharacterized ACR	1374	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1375	COG2152 predicted glycoside hydrolase	1375	10	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
1376	COG2363	1376	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1377	COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination	1377	10	1	1	1	1	1	1	1	1	136	0	1	291	0	1	1	1	1	139	1
1378	COG3178: Predicted phosphotransferase related to Ser/Thr protein kinases	1378	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1379	COG3269, Predicted RNA-binding protein, contains TRAM domain	1379	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1380	COG5591: Uncharacterized conserved protein	1380	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1381	COGs COG3146	1381	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1382	Colanic acid biosynthesis acetyltransferase WcaB (EC 2.3.1.-)	1382	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	1	1	1
1383	Colanic acid biosynthesis acetyltransferase WcaF (EC 2.3.1.-)	1383	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1384	Colanic acid biosynthesis glycosyl transferase WcaA	1384	10	1	1	1	1	1	1	1	1	1	34	1	3	47	1	1	1	14	18	1
1385	Colanic acid biosynthesis glycosyl transferase WcaC	1385	10	1	1	1	1	6	1	1	1	1	34	1	3	15	1	1	1	1	1	1
1386	Colanic acid biosynthesis glycosyl transferase WcaE	1386	10	1	1	1	1	1	1	1	1	1	34	1	3	8	1	1	1	1	1	1
1387	Colanic acid biosynthesis glycosyl transferase WcaL	1387	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1388	Colanic acid biosynthsis UDP-glucose lipid carrier transferase WcaJ	1388	10	8	1	1	1	1	1	9	1	1	18	1	3	35	1	1	1	1	1	1
1389	Colanic acid biosysnthesis glycosyl transferase WcaI	1389	10	1	1	1	1	6	1	1	1	1	10	1	3	45	1	1	1	1	1	1
1390	Colanic acid biosysnthesis protein WcaK	1390	10	1	26	1	6	63	1	9	1	1	79	1	3	463	1	1	1	163	43	1
1391	Colanic acid capsular biosynthesis activation accesory protein RcsA, co-regulator with RcsB	1391	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1392	Colanic acid polymerase WcaD	1392	10	1	1	1	1	17	1	1	1	1	372	1	3	124	5	1	21	4	18	1
1393	Cold shock protein CspA	1393	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1394	Cold shock protein CspB	1394	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1395	Cold shock protein CspC	1395	10	1	1	1	1	52	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1396	Cold shock protein CspD	1396	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1397	Cold shock protein CspE	1397	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1398	Cold shock protein CspF	1398	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1399	Cold shock protein CspG	1399	10	0	0	1	0	0	4	0	1	7	0	3	13	0	1	1	0	0	0	0
1400	Cold shock protein CspH	1400	10	1	1	1	1	1	1	1	1	1	48	1	3	102	1	1	1	29	18	1
1401	Cold shock protein CspI	1401	10	1	1	1	1	1	1	1	1	1	26	1	3	0	1	1	1	1	1	1
1402	Cold-shock DEAD-box protein A	1402	10	1	1	1	27	1	1	1	1	123	6	1	3	18	1	41	1	1	1	1
1403	Colicin I receptor precursor	1403	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1404	Collagen alpha 1(I) chain precursor	1404	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1405	Collagen binding protein Cna	1405	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1406	Collagen-binding adhesin	1406	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1407	Collagen-like surface protein	1407	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1408	ComF operon protein A, DNA transporter ATPase	1408	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1409	ComF operon protein C	1409	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	18	1
1410	Competence positive regulator ComW	1410	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	4	1	1
1411	Competence protein CoiA	1411	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1412	Competence protein F homolog, phosphoribosyltransferase domain	1412	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1413	Competence-specific sigma factor ComX	1413	10	8	322	1	11	63	53	17	1	265	2	11	3	0	76	16	1	282	9	23
1414	Competence-stimulating peptide (CSP) precursor ComC	1414	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1415	Competence-stimulating peptide ABC transporter ATP-binding protein ComA	1415	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	51	18	1
1416	Competence-stimulating peptide ABC transporter permease protein ComB	1416	10	1	1	1	1	1	1	1	1	1	0	1	3	0	61	1	1	1	1	1
1417	Competence/damage-inducible protein CinA	1417	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1418	Conjugative signal peptidase TrhF	1418	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1419	Conjugative transfer entry exclusion protein TrbK	1419	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1420	Conjugative transfer protein ELI_00880	1420	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1421	Conjugative transfer protein ELI_04330	1421	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1422	Conjugative transfer protein PSLT093	1422	10	1	1	1	1	1	1	1	1	1	780	1	3	1974	1	1	1	1	1	1
1423	Conjugative transfer protein s043	1423	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1424	Conjugative transfer protein TrbA	1424	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1425	Conjugative transfer protein TrbB	1425	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1426	Conjugative transfer protein TrbC	1426	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1427	Conjugative transfer protein TrbD	1427	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1428	Conjugative transfer protein TrbE	1428	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1429	Conjugative transfer protein TrbF	1429	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1430	Conjugative transfer protein TrbG	1430	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1431	Conjugative transfer protein TrbH	1431	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1432	Conjugative transfer protein TrbI	1432	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1433	Conjugative transfer protein TrbJ	1433	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1434	Conjugative transfer protein TrbL	1434	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1435	Conjugative transfer protein TrbN	1435	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1436	Conjugative transfer protein TrbP (IncF TraX homolog)	1436	10	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0
1437	Conjugative transposon protein TraA	1437	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1438	Conjugative transposon protein TraB	1438	10	0	0	0	0	0	0	4	0	16	0	2	1	0	3	0	0	0	0	0
1439	Conjugative transposon protein TraC	1439	10	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1440	Conjugative transposon protein TraD	1440	10	1	9	1	1	1	1	1	1	1	0	1	55	0	1	1	1	1	1	1
1441	Conjugative transposon protein TraE	1441	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1442	Conjugative transposon protein TraF	1442	10	4	0	0	0	0	0	58	3	2	0	10	0	0	87	3	1	0	0	0
1443	Conjugative transposon protein TraG	1443	10	0	0	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	0
1444	Conjugative transposon protein TraH	1444	10	1	1	1	6	1	1	1	1	1	0	1	19	0	71	1	1	69	1	1
1445	Conjugative transposon protein TraI	1445	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	33	1	1
1446	Conjugative transposon protein TraJ	1446	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1447	Conjugative transposon protein TraK	1447	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
1448	Conjugative transposon protein TraL	1448	10	8	1	18	1	12	1	1	1	13	0	1	37	0	41	1	1	4	1	1
1449	Conjugative transposon protein TraM	1449	10	1	0	4	0	0	44	1	1	14	0	1	30	2	12	0	0	13	0	0
1450	Conjugative transposon protein TraN	1450	10	0	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
