	HLD_85_R1	HLD_80_R1	HLD_72_2_R1	HLD_47_R1	HLD_28_R1	HLD_23_R1	HLD_112_R1	HLD_111_2_R1	HLD_102_R1	HLD_100_R1	CL_177_R1	CL_173_2_R1	CL_169_BL_R1	CL_166_BL_R2_R1	CL_165_R1	CL_160_R1	CL_144_2_R1	CL_141_BL_R2_R1	CL_139_BL_2_R1	CL_119_R1
antitermination protein Q	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Antitoxin YafN	10	1	1	1	6	1	1	9	1	1	6	1	3	10	1	1	1	1	1	1
Antitoxin YgiT	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ApaG protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Apo-aryl carrier domain of EntB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Apolipoprotein N-acyltransferase (EC 2.3.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aquaporin (Major Intrinsic Protein Family)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aquaporin Z	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arabinan endo-1,5-alpha-L-arabinosidase (EC 3.2.1.99)	10	1	1	1	1	1	1	187	1	1	0	1	3	0	1	1	1	1	1	1
Arabinogalactan endo-1,4-beta-galactosidase (EC 3.2.1.89)	10	0	3	0	1	4	3	2	0	1	0	0	21	0	0	0	1	4	2	2
Arabinose 5-phosphate isomerase (EC 5.3.1.13)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arabinose operon regulatory protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arabinose-proton symporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
archaeal ATPase, fused to C-terminal DUF234 domain	10	15	1	18	1	1	1	1	1	13	0	1	3	0	10	1	1	4	1	1
Archaeal DNA polymerase I (EC 2.7.7.7)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archaeal DNA polymerase II large subunit (EC 2.7.7.7)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archaeal DNA polymerase II small subunit (EC 2.7.7.7)	10	1420	1	1	60	1	1	9	49	1	0	1	3	0	1	1	1	1	1	1
Archaeal flavoprotein COG1036	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archaeal S-adenosylmethionine synthetase (EC 2.5.1.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archaeal seryl-tRNA synthetase-related sequence	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archaeal transcription factor E	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
archaeosine tRNA-ribosyltransferase (EC 2.4.2.-) type 5	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Archease	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AreB (Aryl-alcohol dehydrogenase) (EC 1.1.1.90)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginase (EC 3.5.3.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine ABC transporter, ATP-binding protein ArtP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine ABC transporter, periplasmic arginine-binding protein ArtI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	2940	1	1	1	1
Arginine ABC transporter, periplasmic arginine-binding protein ArtJ	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine ABC transporter, permease protein ArtM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine ABC transporter, permease protein ArtQ	10	1	61	1	6	1	1	1	1	1	299	1	3	763	5	1	1	372	130	1
Arginine decarboxylase (EC 4.1.1.19)	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine decarboxylase, catabolic (EC 4.1.1.19)	10	1	18	1	1	63	1	1	1	7	295	1	3	127	1	1	1	47	52	1
Arginine deiminase (EC 3.5.3.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	81	1	1	1	1
Arginine exporter protein ArgO	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine N-succinyltransferase (EC 2.3.1.109)	10	1	1	1	1	12	1	1	1	1	67	1	3	25	1	1	1	1	1	1
Arginine N-succinyltransferase, alpha subunit (EC 2.3.1.109)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine N-succinyltransferase, beta subunit (EC 2.3.1.109)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine pathway regulatory protein ArgR, repressor of arg regulon	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine permease RocE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine utilization protein RocB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine utilization regulatory protein RocR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine-tRNA-protein transferase (EC 2.3.2.8)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/agmatine antiporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine ABC transporter, ATP-binding protein AotP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine ABC transporter, periplasmic arginine/ornithine binding protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine ABC transporter, permease protein AotM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine ABC transporter, permease protein AotQ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine antiporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginine/ornithine antiporter ArcD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Argininosuccinate lyase (EC 4.3.2.1)	10	1	1	1	1	6	1	1	1	1	0	21	3	0	1	1	1	1	1	1
Argininosuccinate synthase (EC 6.3.4.5)	10	1	1	1	1	46	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arginyl-tRNA synthetase (EC 6.1.1.19)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arogenate dehydrogenase (EC 1.3.1.43)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AroM protein	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aromatic amino acid aminotransferase gamma (EC 2.6.1.57)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aromatic amino acid transport protein AroP	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aromatic-amino-acid aminotransferase (EC 2.6.1.57)	10	1	1	1	1	1	1	1	1	1	2	1	3	0	1	1	1	1	1	1
Aromatic-L-amino-acid decarboxylase (EC 4.1.1.28)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenate reductase (EC 1.20.4.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenic efflux pump protein	10	1	1	1	1	80	1	1	1	1	20	1	3	0	1	1	1	1	1	1
Arsenic resistance protein ArsH	10	1	1	1	1	35	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenical pump-driving ATPase (EC 3.6.3.16)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenical resistance operon repressor	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenical resistance operon trans-acting repressor ArsD	10	1	9	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arsenical-resistance protein ACR3	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Arylsulfatase (EC 3.1.6.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
AscBF operon repressor	10	1	1	1	1	6	1	1	1	1	0	1	3	0	5	1	1	1	1	1
Ascorbate utilization transcriptional regulator UlaR, HTH-type	10	15	9	1	6	12	1	1	1	1	93	1	3	245	5	1	1	58	78	1
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	10	1	1	1	1	1	7	1	1	1	0	1	3	0	1	1	1	1	1	1
Ascorbate-specific PTS system, EIIB component (EC 2.7.1.69)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Ascorbate-specific PTS system, EIIC component	10	23	1	101	1	1	1	1	1	1	0	21	3	0	56	1	1	1	1	1
Asp-X dipeptidase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) AsnH	10	1	1	1	1	1	1	1	1	13	0	1	3	0	15	1	1	228	1	1
Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4) YisO	10	0	0	1	1	2	2	1	1	6	1	0	6	0	0	0	0	0	1	0
Asparagine-rich ORFan next to Sag operon	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Asparaginyl-tRNA synthetase (EC 6.1.1.22)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartate 1-decarboxylase (EC 4.1.1.11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartate aminotransferase (EC 2.6.1.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartate ammonia-lyase (EC 4.3.1.1)	10	7	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Aspartate carbamoyltransferase (EC 2.1.3.2)	10	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Aspartate carbamoyltransferase regulatory chain (PyrI)	10	46	1	1	1	1	1	1	1	45	0	11	3	0	1	4	1	1	1	1
Aspartate racemase (EC 5.1.1.13)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartate--ammonia ligase (EC 6.3.1.1)	10	1	1	1	1	1	1	246	1	1	2	1	3	0	1	1	1	1	1	1
Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)	10	1	3	3	0	1	1	1	1	3	0	1	2	0	1	0	0	8	2	0
Aspartate/ornithine carbamoyltransferase family protein protein YgeW	10	8	1	1	1	80	1	1	1	1	67	1	3	70	1	1	1	4	9	1
Aspartokinase (EC 2.7.2.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	5	1	1	1	1	1
Aspartokinase (EC 2.7.2.4) associated with ectoine biosynthesis	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartyl-tRNA synthetase (EC 6.1.1.12)	10	1	2	1	1	1	2	1	4	1	1	0	0	1	0	0	1	0	0	0
Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6)	10	2	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	4	0
Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6)	10	703	96	1	16	1	1	416	1	2925	0	1	3	458	1	1	1	1	1	1
Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Assimilatory nitrate reductase large subunit (EC:1.7.99.4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP phosphoribosyltransferase (EC 2.4.2.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP phosphoribosyltransferase catalytic subunit (EC 2.4.2.17)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP phosphoribosyltransferase regulatory subunit (EC 2.4.2.17)	10	1	9	705	1	35	80	34	1	39	8	72	55	20	197	16	1	69	35	9
ATP synthase A chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase alpha chain (EC 3.6.3.14)	10	5	0	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0
ATP synthase B chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase B' chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase beta chain (EC 3.6.3.14)	10	0	3	2	5	1	3	1	2	0	0	2	16	0	1	0	3	0	3	0
ATP synthase C chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase delta chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase epsilon chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP synthase gamma chain (EC 3.6.3.14)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	524	1	1	1	1
ATP synthase protein I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	35	1	1	1	1	1
ATP-binding protein ManX	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-binding protein p271	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent Clp protease adaptor protein ClpS	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent Clp protease ATP-binding subunit ClpA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent Clp protease ATP-binding subunit ClpX	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent Clp protease, ATP-binding subunit ClpC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase pcrA (EC 3.6.1.-)	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	21
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	10	1	1	1	1	12	1	1	1	1	0	1	3	0	1	1	11	1	1	1
ATP-dependent DNA helicase RecQ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase Rep	10	1	1	1	1	1	27	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase SCO5183	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase SCO5184	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA	10	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP-dependent DNA helicase UvrD/PcrA, actinomycete paralog	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	1	14
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog	10	53	1	265	1	1	7	9	1	7	2	1	3	2	106	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA, clostridial paralog 2	10	15	26	82	55	1	1	9	1	1	0	21	3	0	1	28	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA, proteobacterial paralog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA/Rep	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA/Rep family, Francisella type	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA/Rep, cyanobacterial paralog	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	5
ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 1	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 2	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1060	1	1	1	1
ATP-dependent DNA helicase, RecQ family	10	1	1	9	0	0	0	1	1	1	0	0	1	0	4	0	0	0	0	0
ATP-dependent DNA ligase (EC 6.5.1.1)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent DNA ligase (EC 6.5.1.1) LigC	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent helicase DinG/Rad3	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent helicase, DEAD/DEAH box family, associated with Flp pilus assembly	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent hsl protease ATP-binding subunit HslU	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent nuclease, subunit A	10	1	2	5	3	1	4	0	3	2	0	0	45	3	0	0	2	19	2	0
ATP-dependent nuclease, subunit B	10	1	1	1	1	1	1	1	1	7	0	1	3	0	1	1	1	4	1	1
ATP-dependent protease domain protein (EC 3.4.21.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent protease HslV (EC 3.4.25.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent protease La (EC 3.4.21.53)	10	0	40	0	1	0	0	0	54	0	0	0	284	0	0	321	0	9	0	0
ATP-dependent protease La (EC 3.4.21.53) LonB Type I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent protease La (EC 3.4.21.53) Type I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent protease La (EC 3.4.21.53) Type II	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP-dependent protease LonB-like Type I	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase Atu1833	10	1	1	1	1	1	20	1	17	1	0	1	3	0	1	1	1	1	18	1
ATP-dependent RNA helicase BA2475	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase Bcep18194_A5658	10	1	26	1	1	1	1	1	1	1	0	1	3	50	1	1	187	210	1	1
ATP-dependent RNA helicase DbpA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase NGO0650	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase PA3950	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase RhlB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase RhlE	10	2	0	9	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ATP-dependent RNA helicase SrmB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase VCA0061	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase VCA0768	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase VVA0939	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase YfmL	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase YqfR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATP-dependent RNA helicase YxiN	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	173	1	1
ATP:Cob(I)alamin adenosyltransferase (EC 2.5.1.17), ethanolamine utilization	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATPase component BioM of energizing module of biotin ECF transporter	10	0	3	0	5	0	0	5	0	22	0	2	0	0	0	5	0	0	2	11
ATPase component CbiO of energizing module of cobalt ECF transporter	10	1	1	1	1	1	1	1	1	1	281	1	3	27	1	1	62	1	1	1
ATPase component NikO of energizing module of nickel ECF transporter	10	0	6	0	0	3	0	5	0	0	0	0	0	0	2	0	0	0	1	0
ATPase component of energizing module of predicted queuosine-regulated ECF transporter	10	1	1	1	1	1	1	1	1	1	0	1	55	0	1	1	1	1	9	1
ATPase component of general energizing module of ECF transporters	10	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ATPase component STY3232 of energizing module of queuosine-regulated ECF transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	30	1	1	7	1	42
ATPase component STY3233 of energizing module of queuosine-regulated ECF transporter	10	0	0	2	5	0	0	0	1	0	0	1	1	0	0	0	2	0	1	0
ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB11)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATPase provides energy for both assembly of type IV secretion complex and secretion of T-DNA complex (VirB4)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
ATPase YjeE, predicted to have essential role in cell wall biosynthesis	10	13	1	2	0	0	0	4	0	0	0	10	18	0	5	0	0	0	0	0
ATPase, AFG1 family	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Attachment invasion locus protein precursor	10	1	1	1	1	1	1	1	1	1	49	1	3	0	1	1	1	51	26	1
Autoinducer 2 (AI-2) ABC transport system, fused AI2 transporter subunits and ATP-binding component	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrC	10	4879	558	9	142	1	1	2588	8	11721	0	1	3	3033	41	1	1	1	1	1
Autoinducer 2 (AI-2) ABC transport system, membrane channel protein LsrD	10	1	9	9	1	184	1	1	1	1	0	1	3	2	5	28	1	7	1	9
Autoinducer 2 (AI-2) ABC transport system, periplasmic AI-2 binding protein LsrB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer 2 (AI-2) aldolase LsrF (EC 4.2.1.-)	10	1	1	1	1	6	1	1	1	1	10	1	3	0	10	1	1	1	1	1
Autoinducer 2 (AI-2) kinase LsrK (EC 2.7.1.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer 2 (AI-2) modifying protein LsrG	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer 2 sensor kinase/phosphatase LuxQ (EC 2.7.3.-) (EC 3.1.3.-)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer synthase BpsI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer synthesis protein LuxI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autoinducer synthesis protein SolI	10	1	1	1	1	1	1	1	1	32	0	1	3	0	1	1	1	1	1	1
Autoinducer-binding transcriptional regulator BpsR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Autolysis histidine kinase LytS	10	5	0	12	0	2	4	0	0	3	0	2	3	1	13	1	0	1	0	0
Autolysis response regulater LytR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	10	1	1	1	1	1	1	1	1	1	0	1	109	421	1	1	1	1	1	576
Bacillibactin synthetase component F (EC 2.7.7.-)	10	46	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacillolysin (EC 3.4.24.28)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacillosamine/Legionaminic acid biosynthesis aminotransferase PglE	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacillosamine/Legionaminic acid biosynthesis N-acetyltrasferase PglD (PseH and NeuD homolog)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacilysin biosynthesis oxidoreductase BacC	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacilysin biosynthesis protein BacA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacilysin exporter protein BacE	10	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
Bacitracin export ATP-binding protein BceA	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	7	1	1
Bacitracin export permease protein BceB	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacterial luciferase family protein YtmO, in cluster with L-cystine ABC transporter	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacterial proteasome-activating AAA-ATPase (PAN)	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacterial sugar transferase	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriochlorophyllide c C12 methyltransefase BchR	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriochlorophyllide c C8 methyltransefase BchQ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriocin immunity protein BlpL	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
bacteriocin transport accessory protein	10	38	139	137	1	12	1	51	1	162	10	500	3	0	162	1	1	123	9	9
Bacteriocin-like peptide I BlpI	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriocin-like peptide J BlpJ	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriocin-like peptide M BlpM	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
Bacteriocin-like peptide N BlpN	10	1	1	1	1	1	1	1	1	1	0	1	3	0	1	1	1	1	1	1
